user,item,score
181,218,60.0
534,160,70.0
414,27,40.0
428,802,60.0
6,891,60.0
181,274,60.0
6,979,60.0
235,21,80.0
404,350,60.0
608,252,70.0
234,888,60.0
288,5,40.0
600,195,40.0
307,88,70.0
356,158,60.0
476,10,60.0
265,491,60.0
6,279,60.0
84,354,80.0
599,842,30.0
68,455,40.0
202,999,80.0
476,412,60.0
608,799,80.0
6,219,60.0
43,382,100.0
198,105,80.0
318,19,70.0
104,532,60.0
84,270,60.0
19,472,40.0
20,2,60.0
21,293,60.0
84,477,80.0
486,546,60.0
541,445,60.0
19,640,20.0
347,34,80.0
304,13,80.0
6,240,60.0
482,494,80.0
606,469,80.0
369,250,50.0
170,207,60.0
64,697,60.0
483,880,50.0
6,454,80.0
608,208,60.0
489,248,70.0
42,383,80.0
599,437,30.0
265,281,60.0
167,353,100.0
99,257,100.0
527,609,80.0
151,102,80.0
312,177,60.0
43,261,100.0
444,273,80.0
284,95,100.0
68,432,50.0
455,434,60.0
45,7,60.0
217,548,60.0
610,332,60.0
566,364,40.0
414,848,80.0
552,1064,70.0
110,996,60.0
492,1006,80.0
600,343,60.0
559,204,40.0
414,415,40.0
489,256,30.0
93,15,80.0
419,493,80.0
480,282,60.0
380,313,60.0
594,289,90.0
6,243,60.0
217,830,60.0
536,370,60.0
411,271,60.0
355,60,60.0
160,258,20.0
117,986,60.0
559,524,80.0
6,426,60.0
599,191,30.0
91,92,40.0
314,22,60.0
182,76,70.0
181,170,60.0
217,647,60.0
140,146,60.0
40,314,100.0
284,704,60.0
20,709,60.0
167,839,30.0
603,360,20.0
162,337,60.0
140,458,60.0
48,168,70.0
414,542,40.0
604,606,60.0
464,368,90.0
599,26,50.0
240,502,60.0
64,377,60.0
6,179,20.0
181,378,60.0
448,180,70.0
600,24,40.0
6,981,60.0
608,762,40.0
308,3,10.0
521,694,60.0
6,86,100.0
226,212,70.0
307,276,40.0
404,196,60.0
249,89,70.0
367,304,100.0
414,251,70.0
603,112,80.0
6,54,80.0
202,347,60.0
353,340,60.0
217,516,40.0
235,435,40.0
414,700,80.0
6,489,60.0
386,288,20.0
592,93,60.0
599,186,30.0
6,189,60.0
562,1061,70.0
150,79,60.0
217,1004,60.0
51,468,90.0
603,62,20.0
19,587,60.0
19,291,40.0
28,224,60.0
57,515,80.0
594,329,80.0
414,852,80.0
43,8,100.0
469,1082,80.0
6,336,60.0
6,801,60.0
240,46,60.0
160,315,20.0
353,161,100.0
277,719,80.0
606,48997,80.0
387,6539,70.0
307,33836,50.0
509,33162,60.0
167,5464,70.0
474,48783,60.0
288,3354,40.0
168,8949,100.0
448,6365,30.0
7,30816,40.0
448,4844,40.0
600,8972,20.0
7,38388,70.0
313,4370,60.0
282,49272,80.0
448,6534,20.0
177,8666,30.0
483,4643,30.0
63,4310,10.0
7,49278,70.0
246,45517,80.0
169,5218,80.0
590,7143,60.0
18,3994,50.0
159,4306,80.0
301,3408,70.0
111,33794,40.0
381,34319,80.0
177,3916,70.0
264,33493,80.0
525,1101,70.0
307,32031,50.0
387,32587,80.0
132,4963,60.0
140,30812,70.0
160,3114,40.0
274,8870,40.0
41,49286,60.0
402,165,100.0
18,5459,50.0
322,5618,60.0
540,5378,80.0
606,750,80.0
332,8984,60.0
318,5816,60.0
221,1584,70.0
63,5349,10.0
393,5445,10.0
47,49824,50.0
7,8207,90.0
363,1246,80.0
232,45730,50.0
608,4018,80.0
534,8368,70.0
580,4995,70.0
51,6934,10.0
274,7445,80.0
477,5952,80.0
489,4874,80.0
483,1682,70.0
387,2717,60.0
64,5502,90.0
610,8665,90.0
580,37741,80.0
274,8908,70.0
7,5991,90.0
448,1917,60.0
590,42002,50.0
414,34048,70.0
42,2688,60.0
380,2701,80.0
332,1923,80.0
600,32296,30.0
466,8957,80.0
160,4223,60.0
414,8783,70.0
178,4993,80.0
570,5989,70.0
414,8907,40.0
448,4886,80.0
288,8965,70.0
567,45499,40.0
542,8958,100.0
539,8961,90.0
479,3869,80.0
491,1784,90.0
414,32029,50.0
502,3977,10.0
605,7153,100.0
197,924,80.0
246,2671,90.0
239,46530,70.0
64,586,60.0
139,5481,20.0
450,3173,80.0
274,5891,60.0
387,6001,70.0
599,5843,30.0
222,5507,50.0
9,5965,80.0
9,5962,20.0
313,2011,20.0
177,4558,40.0
606,627,70.0
9,5841,20.0
74,5893,50.0
610,5956,70.0
275,5902,100.0
253,3328,80.0
244,2023,40.0
599,4131,50.0
414,5988,60.0
9,187,60.0
380,1037,60.0
250,1674,90.0
22,2300,80.0
182,5872,70.0
372,1095,60.0
597,2877,80.0
305,56367,100.0
560,78772,10.0
232,54286,80.0
586,96079,70.0
563,6266,70.0
594,7149,90.0
448,129428,50.0
525,97938,70.0
10,5620,60.0
68,70183,100.0
306,72737,40.0
10,51705,90.0
382,56949,60.0
10,137595,80.0
298,40819,50.0
563,7169,60.0
428,7451,60.0
610,87222,70.0
414,71579,70.0
599,95449,40.0
249,84374,70.0
509,51834,80.0
483,82499,70.0
483,98203,40.0
298,63992,10.0
599,3882,40.0
414,8869,50.0
249,68954,70.0
165,5066,60.0
318,7151,70.0
10,59333,50.0
305,59421,70.0
177,5957,80.0
249,47099,80.0
10,103339,80.0
526,92259,100.0
495,106696,100.0
525,60397,60.0
153,7293,10.0
132,1088,80.0
114,95510,10.0
561,8636,70.0
249,88163,90.0
525,7458,70.0
307,64969,90.0
73,119145,90.0
177,107141,80.0
317,1247,100.0
125,58559,80.0
10,113275,90.0
10,74450,60.0
280,81845,80.0
10,103335,80.0
562,1307,100.0
177,41285,80.0
232,72011,80.0
10,8808,60.0
10,112006,80.0
505,70293,40.0
298,81784,30.0
89,31685,30.0
563,7375,60.0
610,104374,80.0
365,73017,60.0
111,31433,70.0
600,8970,40.0
10,40629,60.0
448,86548,70.0
477,8529,80.0
414,30749,90.0
280,6155,70.0
448,105211,70.0
141,72998,50.0
10,109853,80.0
280,80549,100.0
517,94070,90.0
10,97024,10.0
563,91104,30.0
10,72407,60.0
328,81847,40.0
175,33145,70.0
24,63113,60.0
608,51662,100.0
10,95543,70.0
68,60950,60.0
139,79091,50.0
466,69844,90.0
89,58047,50.0
68,6535,50.0
82,7154,70.0
21,69406,70.0
415,4447,60.0
596,95167,80.0
331,106489,80.0
608,1586,50.0
360,1687,100.0
597,1616,80.0
411,376,80.0
368,1358,80.0
414,1840,80.0
160,1882,20.0
428,44,40.0
274,2002,70.0
11,511,80.0
555,1518,20.0
57,1100,40.0
453,2027,60.0
91,1370,60.0
489,1608,30.0
11,1604,80.0
263,529,80.0
57,1385,40.0
129,1721,70.0
286,2572,60.0
232,8533,100.0
496,3668,60.0
19,1405,40.0
182,2694,50.0
12,2485,100.0
280,277,60.0
425,1357,80.0
590,2421,70.0
590,3827,60.0
597,2541,60.0
352,3409,80.0
20,3300,60.0
140,3513,60.0
313,4148,40.0
480,3753,70.0
313,1590,80.0
599,1619,60.0
414,1173,60.0
45,1639,80.0
220,4011,80.0
324,3952,40.0
610,3863,60.0
191,193,40.0
288,784,40.0
14,448,60.0
567,134130,60.0
141,91500,70.0
305,143385,80.0
343,5971,80.0
105,63859,80.0
29,104841,80.0
39,1527,40.0
18,166635,80.0
339,1653,100.0
432,3156,60.0
599,101864,60.0
610,96610,100.0
227,48774,90.0
414,48304,80.0
45,3555,80.0
448,122882,60.0
610,158872,70.0
177,84152,70.0
596,166528,100.0
305,115149,70.0
610,85414,60.0
240,172,100.0
586,122922,100.0
525,2085,70.0
387,1347,70.0
339,4720,100.0
62,122886,80.0
477,71057,80.0
30,60069,100.0
601,152081,90.0
414,134853,90.0
509,89745,90.0
247,109374,70.0
582,48780,70.0
299,3499,100.0
18,122904,70.0
21,110102,70.0
139,68237,20.0
517,8360,50.0
391,3535,40.0
18,112852,90.0
279,64614,80.0
45,50872,100.0
199,2278,80.0
599,112556,70.0
475,7254,80.0
596,122924,50.0
382,858,100.0
326,105504,90.0
220,8644,80.0
381,56174,80.0
443,103249,60.0
489,69757,90.0
57,2001,60.0
318,2081,60.0
414,3510,80.0
279,152077,60.0
222,6377,60.0
298,59315,70.0
573,94864,90.0
139,84954,50.0
88,6502,90.0
154,71264,100.0
258,70286,90.0
469,1267,100.0
356,7361,100.0
268,1222,40.0
448,1147,100.0
57,2723,60.0
304,541,80.0
50,1252,80.0
290,3741,80.0
275,3108,100.0
274,2490,80.0
169,3174,60.0
494,1201,80.0
377,2641,60.0
365,4973,20.0
590,1193,90.0
16,6350,70.0
488,1148,90.0
445,745,80.0
398,7099,90.0
177,3022,100.0
74,48394,90.0
182,4878,90.0
562,678,80.0
414,3000,100.0
603,1186,80.0
409,111,100.0
596,27611,80.0
503,1207,80.0
18,1223,90.0
127,1276,80.0
380,1261,100.0
385,1281,80.0
104,1680,80.0
331,6016,100.0
549,1036,80.0
441,4571,100.0
160,1375,40.0
19,3039,60.0
309,3435,80.0
603,1258,60.0
91,7482,80.0
249,78499,80.0
603,3263,60.0
17,80463,80.0
474,6870,70.0
320,68358,80.0
57,1234,100.0
275,1228,100.0
599,2194,60.0
74,1221,100.0
599,31658,50.0
29,1209,90.0
68,5782,80.0
274,27773,70.0
318,91542,70.0
448,68319,50.0
305,2951,100.0
318,86880,70.0
432,44191,80.0
438,5903,100.0
305,4007,80.0
562,79695,90.0
610,57528,70.0
18,158972,70.0
448,106839,70.0
18,180777,90.0
599,96655,50.0
448,57640,60.0
68,26614,80.0
610,6863,90.0
66,5574,80.0
18,73499,70.0
534,60074,60.0
551,4262,70.0
357,1961,90.0
368,16,80.0
477,8361,80.0
275,4728,100.0
580,653,60.0
18,104241,60.0
483,26444,90.0
385,1544,60.0
338,177593,100.0
567,142488,50.0
62,2953,70.0
489,7373,70.0
448,3257,20.0
477,3275,90.0
210,98124,80.0
18,7843,90.0
448,4816,60.0
474,5608,60.0
405,34405,80.0
586,5944,80.0
380,53464,60.0
154,122900,100.0
356,6807,70.0
596,150548,70.0
387,51540,60.0
193,7147,70.0
610,135569,70.0
249,49651,70.0
18,118900,70.0
318,116823,50.0
567,122920,50.0
580,6300,100.0
525,27878,80.0
317,76077,40.0
111,176101,80.0
469,1212,100.0
28,64839,60.0
105,3081,80.0
600,45722,80.0
483,102125,90.0
18,51357,80.0
68,58299,60.0
357,5669,50.0
18,5120,90.0
537,58295,100.0
419,64197,100.0
18,1374,90.0
200,34150,50.0
380,111759,100.0
219,38061,100.0
28,55276,50.0
326,32460,90.0
414,96488,90.0
298,141688,60.0
365,104879,40.0
139,98809,80.0
561,160438,40.0
474,2184,70.0
480,36519,40.0
318,33004,80.0
599,913,70.0
553,55247,100.0
18,53318,50.0
88,46578,80.0
318,64957,70.0
561,76175,40.0
292,80489,70.0
182,4383,50.0
68,8784,90.0
534,91485,80.0
98,66934,80.0
586,77561,100.0
184,60040,50.0
387,6440,70.0
212,69122,60.0
353,442,40.0
18,99728,70.0
23,3681,70.0
298,111362,60.0
82,104,70.0
318,71899,80.0
232,56757,90.0
425,431,70.0
414,162350,50.0
298,68073,10.0
89,158238,70.0
610,90600,70.0
428,8917,80.0
352,73321,70.0
217,2411,40.0
125,99813,90.0
62,117176,90.0
18,73268,70.0
405,47491,80.0
534,97752,90.0
249,98585,80.0
462,102445,40.0
18,27689,50.0
249,168252,100.0
365,5679,10.0
514,122926,80.0
322,6787,80.0
489,7318,60.0
110,3462,70.0
525,6378,80.0
18,7753,70.0
365,162606,40.0
448,2412,40.0
610,44665,60.0
18,157108,90.0
105,1227,80.0
384,2706,80.0
567,161582,10.0
474,4327,70.0
387,55118,70.0
18,140289,80.0
328,102903,10.0
339,81788,90.0
18,114066,80.0
18,144210,80.0
288,8641,80.0
610,78469,50.0
105,79702,80.0
184,164179,100.0
474,1059,90.0
522,47200,50.0
318,1260,80.0
534,122892,70.0
247,5418,80.0
18,107846,70.0
18,84392,90.0
477,6373,80.0
186,5008,100.0
18,7018,70.0
495,2409,90.0
50,59615,40.0
590,27831,70.0
232,53125,70.0
249,7323,60.0
352,79293,80.0
370,36529,70.0
249,55765,70.0
499,1924,60.0
74,37733,60.0
414,46965,70.0
279,57669,80.0
483,74789,70.0
599,38038,60.0
464,44555,80.0
18,85354,80.0
122,76251,80.0
602,555,60.0
18,74510,90.0
232,52604,70.0
448,86190,70.0
18,185135,90.0
381,53972,80.0
387,1245,80.0
132,1729,80.0
18,74948,80.0
105,112421,90.0
414,2410,60.0
18,155168,80.0
111,7438,60.0
249,95441,70.0
89,44022,20.0
477,54272,80.0
380,96432,80.0
490,62434,40.0
249,6548,80.0
200,6333,80.0
249,86332,80.0
480,37729,70.0
298,80219,40.0
419,5266,90.0
111,8950,60.0
509,6888,50.0
50,71156,50.0
18,71108,90.0
288,2420,60.0
551,112183,10.0
339,116797,80.0
514,148626,80.0
274,908,70.0
68,6709,60.0
25,180095,100.0
19,3751,60.0
249,159093,80.0
274,7317,50.0
80,87232,80.0
517,1020,40.0
317,88129,80.0
567,122918,70.0
608,3785,50.0
184,88140,80.0
477,53996,80.0
414,68159,80.0
18,112334,90.0
177,106072,70.0
18,27716,90.0
352,30793,60.0
18,69640,80.0
567,103772,40.0
583,63131,50.0
18,92094,70.0
196,5995,60.0
246,69951,90.0
563,106487,70.0
351,67255,80.0
267,1356,100.0
484,6287,70.0
534,83349,80.0
33,1918,60.0
131,778,80.0
51,33615,70.0
18,128620,70.0
318,73323,80.0
387,55290,80.0
160,2422,20.0
182,3896,30.0
271,37386,50.0
564,79592,80.0
160,671,20.0
387,2003,60.0
391,1285,60.0
465,2110,80.0
599,2118,60.0
555,2900,60.0
19,3395,60.0
305,3671,80.0
483,3534,50.0
45,1021,40.0
599,832,50.0
560,551,80.0
19,3622,60.0
313,3693,20.0
42,2369,40.0
489,3355,50.0
156,1783,60.0
288,2375,40.0
594,2808,100.0
414,2244,20.0
217,1963,20.0
414,761,40.0
19,1718,40.0
391,1845,80.0
558,1798,60.0
587,141,80.0
294,2518,40.0
19,3248,40.0
288,1663,60.0
234,2123,60.0
232,3483,60.0
27,911,100.0
571,12,20.0
19,1891,40.0
483,173,20.0
134,48,60.0
19,879,20.0
19,1238,60.0
555,611,40.0
298,3623,60.0
91,1215,100.0
610,328,70.0
140,866,80.0
42,1461,60.0
555,3698,100.0
19,3400,60.0
609,742,60.0
156,1614,20.0
599,1377,90.0
606,1971,30.0
307,2968,70.0
213,3005,80.0
158,1409,50.0
608,3032,70.0
19,2041,80.0
99,325,40.0
135,3708,80.0
226,2279,40.0
608,1556,40.0
330,3826,50.0
307,2036,60.0
19,3548,40.0
603,3324,20.0
19,2555,20.0
59,906,100.0
20,2700,90.0
294,3397,80.0
288,2111,80.0
572,1610,100.0
357,1028,90.0
19,2243,40.0
19,1679,40.0
288,3704,80.0
19,2883,60.0
66,2302,70.0
368,3104,60.0
287,1359,10.0
113,3551,80.0
91,2867,80.0
414,2092,40.0
474,2137,60.0
240,427,40.0
19,486,40.0
608,1862,50.0
474,1994,80.0
19,1456,40.0
19,2249,60.0
590,921,70.0
51,2169,80.0
382,2687,90.0
600,2026,40.0
19,513,60.0
19,1972,20.0
325,3550,80.0
160,2446,40.0
313,610,100.0
19,3370,40.0
318,2321,70.0
555,2335,80.0
539,1297,60.0
84,915,60.0
610,2140,70.0
19,2754,20.0
274,2605,70.0
571,1324,20.0
169,1911,80.0
103,2720,70.0
20,1919,70.0
182,1542,90.0
599,2709,50.0
555,1257,100.0
391,3683,100.0
267,1200,100.0
599,2719,30.0
484,724,60.0
265,1373,60.0
482,2468,70.0
604,366,100.0
480,1441,60.0
51,2148,80.0
199,3064,40.0
20,3398,100.0
599,1457,50.0
555,414,60.0
502,3471,100.0
307,1333,60.0
483,2134,70.0
414,2802,60.0
104,87,60.0
448,3072,60.0
298,3477,60.0
561,1129,80.0
318,3476,80.0
438,3213,70.0
42,2372,100.0
265,3269,60.0
474,2394,100.0
462,3040,40.0
297,338,40.0
414,2097,60.0
100,2513,40.0
456,64,60.0
603,2413,60.0
603,3361,80.0
86,2642,70.0
19,1816,20.0
19,3500,40.0
64,1717,60.0
469,1779,20.0
160,2643,20.0
599,3454,50.0
160,2088,20.0
430,2699,60.0
57,1690,40.0
600,1551,30.0
591,2840,40.0
469,2788,100.0
555,3706,20.0
453,1665,100.0
160,1591,40.0
479,2374,80.0
263,2108,60.0
20,1489,80.0
51,3396,70.0
414,3754,60.0
368,3063,40.0
307,1973,40.0
571,2465,40.0
42,1806,40.0
414,3526,80.0
560,2672,80.0
367,3466,100.0
274,2315,70.0
608,3087,50.0
387,965,80.0
304,1485,80.0
66,1748,100.0
288,2015,60.0
19,2898,40.0
122,1394,100.0
572,1894,60.0
414,2793,40.0
19,2614,20.0
469,3770,60.0
19,3401,40.0
596,2294,60.0
599,2004,70.0
608,3825,70.0
312,1372,80.0
19,3501,40.0
156,1747,60.0
474,2016,50.0
438,1047,60.0
307,1322,10.0
469,2407,80.0
380,379,60.0
19,2167,60.0
182,3316,40.0
19,1906,40.0
438,1479,70.0
600,2060,80.0
597,1550,20.0
100,933,80.0
91,3031,70.0
36,1376,40.0
19,2037,80.0
599,2804,50.0
474,3393,40.0
68,2888,70.0
414,1921,80.0
325,3424,100.0
91,3837,100.0
414,1380,60.0
307,1593,40.0
263,2266,60.0
274,558,80.0
298,785,60.0
608,2606,40.0
57,3705,40.0
19,2822,40.0
91,1645,60.0
169,1569,90.0
607,3418,80.0
27,1588,40.0
68,2617,80.0
414,3225,20.0
414,2320,50.0
465,3686,60.0
392,2423,40.0
603,1346,80.0
555,2263,60.0
367,3784,100.0
19,1427,20.0
438,3190,20.0
608,829,20.0
19,1855,40.0
381,3745,80.0
599,1342,50.0
64,2100,70.0
182,2995,30.0
474,2550,80.0
608,1991,60.0
294,3308,20.0
479,3082,40.0
474,2558,40.0
19,3113,40.0
232,3624,60.0
217,2040,60.0
492,810,60.0
19,2328,40.0
19,512,40.0
169,1367,60.0
380,1583,60.0
462,1648,80.0
95,2072,60.0
232,1688,40.0
325,3608,60.0
380,1909,80.0
19,3802,40.0
19,2206,60.0
608,3484,60.0
457,3798,60.0
91,3254,50.0
198,2455,80.0
290,903,100.0
19,3056,80.0
555,1081,80.0
489,1499,10.0
591,2581,80.0
474,3101,80.0
472,2428,60.0
64,1339,70.0
414,372,80.0
19,2287,60.0
577,3035,100.0
19,2936,80.0
483,2053,20.0
76,788,10.0
608,3258,60.0
249,2232,80.0
448,2806,70.0
452,2668,80.0
387,3839,40.0
599,931,60.0
249,1562,50.0
19,1681,60.0
307,3594,10.0
19,743,40.0
307,3743,20.0
19,1355,40.0
477,1831,80.0
217,1812,80.0
535,2860,60.0
367,3797,80.0
514,1345,80.0
89,2355,70.0
410,2144,80.0
19,295,60.0
217,3497,40.0
489,2245,70.0
414,3219,40.0
249,1566,80.0
414,2453,40.0
202,3505,100.0
555,1330,20.0
288,2065,60.0
587,2870,60.0
66,2261,90.0
275,2463,80.0
19,118,60.0
68,3264,60.0
603,3515,60.0
